Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1466197200.0 10.0 NA 91 225 0 NA NA 163 278 0 NA NA 4872 4483 1324 NA NA 4992 4703 1450 NA
1466197200.0 10224.0 NA 146 324 0 NA NA 212 414 0 NA NA 4480 7870 935 NA NA 9243 12618 1065 NA
1466197200.0 10225.0 NA 144 321 0 NA NA 211 413 0 NA NA 5144 6988 967 NA NA 14056 15647 1107 NA
1466197200.0 108.0 60 94 225 NA NA 111 157 271 NA NA 9574 917 1424 NA NA 9591 1077 1650 NA NA
1466197200.0 10826.0 113 NA NA NA NA 168 NA NA NA NA 38126 NA NA NA NA 38198 NA NA NA NA
1466197200.0 117.0 60 93 228 NA NA 111 157 272 NA NA 10190 902 1290 NA NA 10301 1061 1575 NA NA
1466197200.0 12.0 NA 91 226 0 NA NA 163 277 0 NA NA 4449 4905 1398 NA NA 4662 5203 1524 NA
1466197200.0 121.0 60 93 228 NA NA 114 157 272 NA NA 10176 981 1375 NA NA 10285 1085 1580 NA NA
1466197200.0 1328.0 NA 178 277 0 NA NA 239 334 0 NA NA 1373 2203 3308 NA NA 1652 2362 3333 NA
1466197200.0 1333.0 NA 178 272 0 NA NA 238 335 0 NA NA 1288 2027 3411 NA NA 1541 2226 3547 NA
1466197200.0 1335.0 NA 179 274 0 NA NA 236 334 0 NA NA 1265 1810 3608 NA NA 1503 1962 3735 NA
1466197200.0 1338.0 NA 185 280 0 NA NA 242 334 0 NA NA 1394 2243 3473 NA NA 1610 2465 3497 NA
1466197200.0 134.812 NA 54 246 0 NA NA 94 305 0 NA NA 252 8396 1199 NA NA 261 8574 1324 NA
1466197200.0 134.813 NA 138 75 0 NA NA 218 104 0 NA NA 1364 200 339 NA NA 1451 320 463 NA
1466197200.0 1351.0 NA 180 276 0 NA NA 237 334 0 NA NA 1360 1906 3421 NA NA 1492 2068 3549 NA
1466197200.0 1352.0 NA 185 272 0 NA NA 239 334 0 NA NA 1251 2087 3247 NA NA 1479 2301 3383 NA
1466197200.0 1354.0 NA 180 276 0 NA NA 240 334 0 NA NA 1377 2082 3600 NA NA 1520 2380 3622 NA
1466197200.0 136.727 NA 228 284 0 NA NA 286 345 0 NA NA 6837 17204 2248 NA NA 6981 17637 2278 NA
1466197200.0 136.728 NA 221 280 0 NA NA 278 342 0 NA NA 7946 19659 2292 NA NA 8119 20045 2322 NA
1466197200.0 136.733 NA 155 84 0 NA NA 231 111 0 NA NA 1586 328 345 NA NA 1830 494 403 NA
1466197200.0 136.734 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1466197200.0 13992501.0 NA 211 340 0 NA NA 287 424 0 NA NA 6060 8494 3380 NA NA 9793 11812 3407 NA
1466197200.0 13992502.0 NA 212 334 0 NA NA 286 423 0 NA NA 5573 7762 3445 NA NA 8618 10789 3571 NA
1466197200.0 24.0 NA 94 225 0 NA NA 164 277 0 NA NA 4506 4935 1336 NA NA 4645 5096 1453 NA
1466197200.0 25.0 NA 94 243 0 79 NA 163 291 0 105 NA 4685 6042 1324 149 NA 4817 6186 1352 162
1466197200.0 250200.0 NA 385 312 0 NA NA 503 454 0 NA NA 25654 6696 3292 NA NA 26508 6938 3425 NA
1466197200.0 250202.0 NA 232 303 0 NA NA 302 370 0 NA NA 29350 6756 2890 NA NA 32675 7045 3018 NA
1466197200.0 250203.0 NA 230 297 0 NA NA 301 366 0 NA NA 26166 6400 3057 NA NA 29285 6681 3192 NA
1466197200.0 250204.0 NA 233 302 0 NA NA 306 370 0 NA NA 26599 6109 3136 NA NA 27263 6467 3272 NA
1466197200.0 250205.0 NA 226 312 0 NA NA 304 371 0 NA NA 24209 5949 3230 NA NA 27120 6193 3359 NA
1466197200.0 250206.0 NA 236 309 0 NA NA 311 374 0 NA NA 25619 7668 3211 NA NA 26194 7916 3337 NA
1466197200.0 250207.0 NA 219 301 0 NA NA 300 363 0 NA NA 22560 5450 3155 NA NA 26007 5734 3178 NA
1466197200.0 25200.0 NA 214 334 0 NA NA 285 428 0 NA NA 5959 7714 3313 NA NA 9153 11653 3442 NA
1466197200.0 25202.0 NA 212 338 0 NA NA 288 425 0 NA NA 5743 7933 3406 NA NA 9788 12260 3432 NA
1466197200.0 25203.0 NA 230 343 0 NA NA 298 426 0 NA NA 6638 8056 3593 NA NA 11445 12577 3619 NA
1466197200.0 25204.0 NA 213 334 0 NA NA 285 422 0 NA NA 5756 7361 3404 NA NA 9659 10618 3538 NA
1466197200.0 25205.0 NA 211 333 0 NA NA 287 422 0 NA NA 5847 7351 3599 NA NA 9198 10394 3624 NA
1466197200.0 25206.0 NA 212 338 0 NA NA 292 428 0 NA NA 6157 9190 3460 NA NA 9585 12599 3483 NA
1466197200.0 25207.0 NA 207 332 0 NA NA 280 418 0 NA NA 5704 7071 3553 NA NA 8900 10273 3577 NA
1466197200.0 25208.0 NA 223 347 0 NA NA 299 436 0 NA NA 6825 10360 3469 NA NA 13091 16744 3494 NA
1466197200.0 25209.0 NA 217 342 0 NA NA 296 429 0 NA NA 6319 7966 3280 NA NA 10915 12687 3304 NA
1466197200.0 25400.0 286 0 120 NA NA 379 0 175 NA NA 7282 860 825 NA NA 11169 869 1057 NA NA
1466197200.0 25402.0 287 0 120 NA NA 378 0 174 NA NA 7852 888 1007 NA NA 12101 995 1193 NA NA
1466197200.0 25408.0 292 0 123 NA NA 383 0 175 NA NA 10211 895 1347 NA NA 11375 1003 1475 NA NA
1466197200.0 25409.0 283 0 122 NA NA 377 0 175 NA NA 7466 774 940 NA NA 11791 883 1073 NA NA
1466197200.0 28.0 NA 94 222 0 NA NA 163 276 0 NA NA 4808 4252 1390 NA NA 5013 4383 1510 NA
1466197200.0 3.0 65 100 152 NA NA 113 155 204 NA NA 15205 681 2173 NA NA 15329 838 2460 NA NA
1466197200.0 300.0 74 196 266 0 NA 138 275 355 0 NA 5280 1689 2354 470 NA 5365 1846 2522 624 NA
