Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1466287200.0 10.0 NA 158 175 0 NA NA 218 225 0 NA NA 3292 4703 1304 NA NA 3588 4871 1341 NA
1466287200.0 11.0 NA 152 182 0 49 NA 210 229 0 75 NA 1553 2146 1100 64 NA 1960 2388 1154 88
1466287200.0 115.0 53 150 170 NA NA 91 204 222 NA NA 5389 819 985 NA NA 5449 893 1061 NA NA
1466287200.0 117.0 54 153 172 NA NA 91 205 224 NA NA 8246 819 1261 NA NA 8402 897 1344 NA NA
1466287200.0 118.0 54 153 171 NA NA 91 206 222 NA NA 5971 845 1057 NA NA 6053 963 1136 NA NA
1466287200.0 12.0 NA 156 173 0 NA NA 217 225 0 NA NA 3079 5114 1383 NA NA 3441 5393 1449 NA
1466287200.0 121.0 53 152 173 NA NA 91 206 224 NA NA 7133 859 1060 NA NA 7221 940 1135 NA NA
1466287200.0 13.0 NA 161 176 0 NA NA 219 228 0 NA NA 3112 5225 768 NA NA 3528 5306 807 NA
1466287200.0 132.0 53 157 178 NA NA 89 207 225 NA NA 4315 639 779 NA NA 4561 693 909 NA NA
1466287200.0 1354.0 60 159 180 0 NA 101 209 231 0 NA 5625 642 771 795 NA 6278 729 869 818 NA
1466287200.0 1355.0 62 162 185 0 NA 103 211 233 0 NA 5775 708 929 868 NA 6458 826 1008 896 NA
1466287200.0 14.0 NA 156 173 0 NA NA 216 223 0 NA NA 2994 4126 1233 NA NA 3218 4259 1259 NA
1466287200.0 140.51 NA 53 157 0 NA NA 91 201 0 NA NA 4200 3674 1018 NA NA 4525 4000 1109 NA
1466287200.0 16.0 NA 155 170 0 NA NA 215 221 0 NA NA 2794 3248 1225 NA NA 3026 3362 1264 NA
1466287200.0 2.0 54 147 124 NA NA 91 186 170 NA NA 6027 572 642 NA NA 6381 660 711 NA NA
1466287200.0 201.0 NA 169 200 0 NA NA 231 253 0 NA NA 1074 1886 985 NA NA 1987 2561 1043 NA
