Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1466287200.0 200.0 NA 48 NA NA 100 NA NA 115 NA NA 136 NA
1466287200.0 250202.0 NA 101 NA NA 151 NA NA 354 NA NA 443 NA
1466287200.0 25205.0 NA 86 NA NA 145 NA NA 208 NA NA 258 NA
1466287200.0 25206.0 NA 91 NA NA 145 NA NA 209 NA NA 269 NA
1466287200.0 500205.0 NA 100 NA NA 151 NA NA 336 NA NA 374 NA
1466287200.0 500206.0 NA 107 NA NA 152 NA NA 362 NA NA 421 NA
1466287200.0 500207.0 NA 102 NA NA 150 NA NA 334 NA NA 382 NA
1466287200.0 50202.0 NA 95 NA NA 146 NA NA 344 NA NA 446 NA
1466287200.0 50203.0 NA 92 NA NA 146 NA NA 215 NA NA 270 NA
1466287200.0 50208.0 NA 88 NA NA 147 NA NA 216 NA NA 274 NA
1466287200.0 526.0 13 26 0 46 63 0 11 59 18 3060 65 25
