Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1465077600.0 1.0 50 69 115 NA NA NA NA 94 143 166 NA NA NA NA 2098 442 404 NA NA NA NA 2154 466 438 NA NA NA NA
1465077600.0 10.0 NA 69 166 0 NA NA NA NA 140 223 0 NA NA NA NA 3515 3984 880 NA NA NA NA 3714 4205 898 NA NA NA
1465077600.0 1000.0 NA 166 99 0 37 NA NA NA 230 153 0 67 NA NA NA 3384 810 747 126 NA NA NA 3500 946 755 152 NA NA
1465077600.0 1001.0 NA 156 101 0 0 0 0 NA 216 141 0 0 0 0 NA 2154 209 59 55 118 41 NA 2220 238 68 59 122 51
1465077600.0 1002.0 NA 178 54 NA NA NA NA NA 245 93 NA NA NA NA NA 3625 274 NA NA NA NA NA 3788 283 NA NA NA NA
1465077600.0 1003.0 NA 153 0 NA NA NA NA NA 216 0 NA NA NA NA NA 5096 1056 NA NA NA NA NA 5296 1076 NA NA NA NA
1465077600.0 1004.0 NA 159 89 0 0 0 NA NA 223 123 0 0 0 NA NA 595 94 53 50 118 NA NA 620 111 59 57 126 NA
1465077600.0 101.0 78 NA NA NA NA NA NA 134 NA NA NA NA NA NA 1581 NA NA NA NA NA NA 1595 NA NA NA NA NA NA
1465077600.0 102.0 79 NA NA NA NA NA NA 135 NA NA NA NA NA NA 1217 NA NA NA NA NA NA 1231 NA NA NA NA NA NA
1465077600.0 103.0 45 74 160 NA NA NA NA 88 143 222 NA NA NA NA 1256 383 726 NA NA NA NA 1274 400 757 NA NA NA NA
1465077600.0 105.0 49 72 23 NA NA NA NA 94 143 52 NA NA NA NA 2929 644 5 NA NA NA NA 2958 684 9 NA NA NA NA
1465077600.0 106.0 35 0 0 NA NA NA NA 74 0 0 NA NA NA NA 613 155 349 NA NA NA NA 632 160 376 NA NA NA NA
1465077600.0 107.0 50 73 161 NA NA NA NA 95 143 222 NA NA NA NA 3913 451 665 NA NA NA NA 4058 478 712 NA NA NA NA
1465077600.0 108.0 53 77 163 NA NA NA NA 98 143 222 NA NA NA NA 8434 697 1090 NA NA NA NA 8693 741 1125 NA NA NA NA
1465077600.0 109.0 53 79 167 NA NA NA NA 99 143 222 NA NA NA NA 6738 539 832 NA NA NA NA 7044 600 878 NA NA NA NA
1465077600.0 11.0 NA 65 169 0 41 NA NA NA 140 232 0 75 NA NA NA 2039 1137 717 48 NA NA NA 2135 1193 735 60 NA NA
1465077600.0 110.0 41 74 162 NA NA NA NA 81 143 222 NA NA NA NA 690 409 380 NA NA NA NA 706 421 394 NA NA NA NA
1465077600.0 1102.0 NA 69 165 94 52 NA NA NA 140 222 149 100 NA NA NA 3488 5050 2931 269 NA NA NA 3653 5225 3026 279 NA NA
1465077600.0 111.0 50 75 165 NA NA NA NA 94 143 222 NA NA NA NA 3415 587 852 NA NA NA NA 3463 633 885 NA NA NA NA
1465077600.0 112.0 51 76 162 NA NA NA NA 96 143 222 NA NA NA NA 3699 470 657 NA NA NA NA 3786 507 714 NA NA NA NA
1465077600.0 113.0 51 75 164 NA NA NA NA 96 143 223 NA NA NA NA 5150 637 913 NA NA NA NA 5222 656 939 NA NA NA NA
1465077600.0 114.0 53 75 162 NA NA NA NA 95 143 216 NA NA NA NA 4544 480 755 NA NA NA NA 4574 489 769 NA NA NA NA
1465077600.0 115.0 52 76 162 NA NA NA NA 97 143 222 NA NA NA NA 6611 688 955 NA NA NA NA 6752 716 990 NA NA NA NA
1465077600.0 116.0 52 76 165 NA NA NA NA 97 143 222 NA NA NA NA 4803 527 778 NA NA NA NA 4828 537 794 NA NA NA NA
1465077600.0 117.0 52 77 163 NA NA NA NA 98 143 222 NA NA NA NA 6432 524 805 NA NA NA NA 6857 569 848 NA NA NA NA
1465077600.0 118.0 51 76 163 NA NA NA NA 97 143 222 NA NA NA NA 7405 689 1069 NA NA NA NA 7613 711 1129 NA NA NA NA
1465077600.0 119.0 53 76 163 NA NA NA NA 96 143 222 NA NA NA NA 5295 704 938 NA NA NA NA 5346 766 967 NA NA NA NA
1465077600.0 12.0 NA 68 163 0 NA NA NA NA 140 222 0 NA NA NA NA 3255 4063 932 NA NA NA NA 3420 4231 951 NA NA NA
1465077600.0 120.0 43 76 158 NA NA NA NA 86 143 222 NA NA NA NA 924 594 723 NA NA NA NA 947 613 751 NA NA NA NA
1465077600.0 121.0 52 77 164 NA NA NA NA 97 143 222 NA NA NA NA 8351 711 1122 NA NA NA NA 8616 745 1170 NA NA NA NA
1465077600.0 122.0 49 80 162 NA NA NA NA 94 143 222 NA NA NA NA 2133 482 760 NA NA NA NA 2177 502 810 NA NA NA NA
1465077600.0 123.1 148 NA NA NA NA NA NA 204 NA NA NA NA NA NA 997 NA NA NA NA NA NA 1063 NA NA NA NA NA NA
1465077600.0 123.2 149 NA NA NA NA NA NA 205 NA NA NA NA NA NA 1133 NA NA NA NA NA NA 1185 NA NA NA NA NA NA
