Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1466024400.0 1.0 76 71 134 NA NA NA NA NA 141 144 188 NA NA NA NA NA 2166 347 333 NA NA NA NA NA 982 244 311 NA NA NA NA NA
1466024400.0 10.0 NA 94 357 0 NA NA NA NA NA 162 422 0 NA NA NA NA NA 3800 3735 683 NA NA NA NA NA 1396 1631 699 NA NA NA NA
1466024400.0 1000.0 NA 324 113 0 46 NA NA NA NA 396 167 0 80 NA NA NA NA 4365 907 541 385 NA NA NA NA 2094 719 579 408 NA NA NA
1466024400.0 1001.0 NA 298 198 0 0 0 0 0 NA 357 235 0 0 0 0 0 NA 3723 957 8 40 900 118 764 NA 1742 864 11 43 912 140 796
1466024400.0 1002.0 NA 324 68 NA NA NA NA NA NA 396 104 NA NA NA NA NA NA 2818 174 NA NA NA NA NA NA 1362 143 NA NA NA NA NA
1466024400.0 10021.0 NA 99 168 0 NA NA NA NA NA 181 216 0 NA NA NA NA NA 915 1018 280 NA NA NA NA NA 1074 743 315 NA NA NA NA
1466024400.0 10023.0 NA 107 171 0 NA NA NA NA NA 181 216 0 NA NA NA NA NA 718 674 271 NA NA NA NA NA 678 695 285 NA NA NA NA
1466024400.0 10024.0 NA 110 175 0 NA NA NA NA NA 181 230 0 NA NA NA NA NA 820 860 329 NA NA NA NA NA 725 710 344 NA NA NA NA
1466024400.0 10025.0 NA 109 166 0 NA NA NA NA NA 181 217 0 NA NA NA NA NA 786 638 325 NA NA NA NA NA 680 622 346 NA NA NA NA
1466024400.0 10026.0 NA 118 174 0 NA NA NA NA NA 181 231 0 NA NA NA NA NA 1239 1297 380 NA NA NA NA NA 1134 976 509 NA NA NA NA
1466024400.0 1003.0 NA 266 0 NA NA NA NA NA NA 341 0 NA NA NA NA NA NA 4872 310 NA NA NA NA NA NA 1775 321 NA NA NA NA NA
1466024400.0 1004.0 NA 344 132 0 0 0 0 NA NA 415 170 0 0 0 0 NA NA 1083 257 6 29 470 540 NA NA 843 269 10 35 479 545 NA
1466024400.0 101.0 99 NA NA NA NA NA NA NA 163 NA NA NA NA NA NA NA 579 NA NA NA NA NA NA NA 610 NA NA NA NA NA NA NA
1466024400.0 102.0 99 NA NA NA NA NA NA NA 162 NA NA NA NA NA NA NA 585 NA NA NA NA NA NA NA 610 NA NA NA NA NA NA NA
1466024400.0 10224.0 NA 184 359 0 NA NA NA NA NA 269 445 0 NA NA NA NA NA 3772 2943 275 NA NA NA NA NA 4439 4534 288 NA NA NA NA
1466024400.0 10225.0 NA 193 360 0 NA NA NA NA NA 270 434 0 NA NA NA NA NA 3681 3017 260 NA NA NA NA NA 4715 4063 273 NA NA NA NA
1466024400.0 103.0 50 76 334 NA NA NA NA NA 100 152 401 NA NA NA NA NA 2301 283 753 NA NA NA NA NA 1431 299 784 NA NA NA NA NA
1466024400.0 105.0 86 87 25 NA NA NA NA NA 141 152 57 NA NA NA NA NA 2377 403 3 NA NA NA NA NA 1063 297 6 NA NA NA NA NA
1466024400.0 106.0 38 0 0 NA NA NA NA NA 80 0 0 NA NA NA NA NA 408 135 346 NA NA NA NA NA 416 148 360 NA NA NA NA NA
1466024400.0 107.0 86 84 350 NA NA NA NA NA 150 152 411 NA NA NA NA NA 6916 664 1080 NA NA NA NA NA 2362 469 916 NA NA NA NA NA
1466024400.0 108.0 86 94 351 NA NA NA NA NA 151 152 417 NA NA NA NA NA 11013 770 1374 NA NA NA NA NA 3850 506 1057 NA NA NA NA NA
1466024400.0 109.0 90 85 349 NA NA NA NA NA 151 152 415 NA NA NA NA NA 8468 685 1228 NA NA NA NA NA 2781 469 983 NA NA NA NA NA
1466024400.0 11.0 NA 89 381 0 61 NA NA NA NA 161 447 0 95 NA NA NA NA 3035 1761 708 71 NA NA NA NA 1124 1149 728 52 NA NA NA
1466024400.0 110.0 68 78 339 NA NA NA NA NA 110 152 405 NA NA NA NA NA 1316 534 816 NA NA NA NA NA 726 368 745 NA NA NA NA NA
1466024400.0 1102.0 NA 100 371 125 67 NA NA NA NA 161 430 176 110 NA NA NA NA 3858 4841 4260 253 NA NA NA NA 1439 1898 1673 172 NA NA NA
1466024400.0 111.0 76 83 341 NA NA NA NA NA 143 152 407 NA NA NA NA NA 2897 414 818 NA NA NA NA NA 1232 344 745 NA NA NA NA NA
1466024400.0 112.0 83 83 351 NA NA NA NA NA 149 152 408 NA NA NA NA NA 5686 691 1031 NA NA NA NA NA 2361 501 1057 NA NA NA NA NA
1466024400.0 113.0 85 89 344 NA NA NA NA NA 149 152 409 NA NA NA NA NA 4950 482 890 NA NA NA NA NA 1938 351 783 NA NA NA NA NA
1466024400.0 114.0 84 93 353 NA NA NA NA NA 153 152 418 NA NA NA NA NA 6662 721 1080 NA NA NA NA NA 2401 584 896 NA NA NA NA NA
1466024400.0 115.0 84 84 348 NA NA NA NA NA 152 152 410 NA NA NA NA NA 7702 680 1097 NA NA NA NA NA 2767 465 965 NA NA NA NA NA
1466024400.0 116.0 86 94 352 NA NA NA NA NA 151 152 417 NA NA NA NA NA 8873 702 1218 NA NA NA NA NA 3274 479 993 NA NA NA NA NA
1466024400.0 117.0 83 93 350 NA NA NA NA NA 147 152 415 NA NA NA NA NA 9174 709 1202 NA NA NA NA NA 2942 466 950 NA NA NA NA NA
1466024400.0 118.0 86 97 351 NA NA NA NA NA 151 152 421 NA NA NA NA NA 10697 765 1424 NA NA NA NA NA 3414 503 1084 NA NA NA NA NA
1466024400.0 119.0 86 86 347 NA NA NA NA NA 152 152 411 NA NA NA NA NA 6756 670 1068 NA NA NA NA NA 2632 505 930 NA NA NA NA NA
1466024400.0 12.0 NA 99 349 0 NA NA NA NA NA 161 418 0 NA NA NA NA NA 3614 3962 725 NA NA NA NA NA 1334 1680 773 NA NA NA NA
1466024400.0 120.0 68 78 344 NA NA NA NA NA 113 152 401 NA NA NA NA NA 886 382 622 NA NA NA NA NA 526 282 605 NA NA NA NA NA
1466024400.0 121.0 85 95 346 NA NA NA NA NA 150 152 415 NA NA NA NA NA 7831 683 1256 NA NA NA NA NA 2514 475 964 NA NA NA NA NA
1466024400.0 122.0 51 74 333 NA NA NA NA NA 100 152 402 NA NA NA NA NA 1610 272 706 NA NA NA NA NA 1052 289 729 NA NA NA NA NA
1466024400.0 123.1 322 NA NA NA NA NA NA NA 402 NA NA NA NA NA NA NA 675 NA NA NA NA NA NA NA 548 NA NA NA NA NA NA NA
1466024400.0 123.2 317 NA NA NA NA NA NA NA 409 NA NA NA NA NA NA NA 784 NA NA NA NA NA NA NA 538 NA NA NA NA NA NA NA
1466024400.0 123.3 277 NA NA NA NA NA NA NA 345 NA NA NA NA NA NA NA 494 NA NA NA NA NA NA NA 444 NA NA NA NA NA NA NA
1466024400.0 124.1 306 NA NA NA NA NA NA NA 373 NA NA NA NA NA NA NA 498 NA NA NA NA NA NA NA 453 NA NA NA NA NA NA NA
1466024400.0 124.2 308 NA NA NA NA NA NA NA 400 NA NA NA NA NA NA NA 611 NA NA NA NA NA NA NA 494 NA NA NA NA NA NA NA
1466024400.0 124.4 296 NA NA NA NA NA NA NA 374 NA NA NA NA NA NA NA 501 NA NA NA NA NA NA NA 439 NA NA NA NA NA NA NA
1466024400.0 124.5 296 NA NA NA NA NA NA NA 374 NA NA NA NA NA NA NA 504 NA NA NA NA NA NA NA 448 NA NA NA NA NA NA NA
1466024400.0 124.6 274 NA NA NA NA NA NA NA 345 NA NA NA NA NA NA NA 508 NA NA NA NA NA NA NA 599 NA NA NA NA NA NA NA
1466024400.0 125.0 87 91 348 NA NA NA NA NA 151 152 411 NA NA NA NA NA 5713 496 913 NA NA NA NA NA 1844 344 809 NA NA NA NA NA
1466024400.0 126.0 60 85 336 NA NA NA NA NA 111 152 402 NA NA NA NA NA 1802 464 826 NA NA NA NA NA 841 338 777 NA NA NA NA NA
1466024400.0 127.0 60 80 345 NA NA NA NA NA 116 152 401 NA NA NA NA NA 1835 393 668 NA NA NA NA NA 797 292 622 NA NA NA NA NA
1466024400.0 128.0 57 79 337 NA NA NA NA NA 104 152 405 NA NA NA NA NA 950 468 753 NA NA NA NA NA 609 345 717 NA NA NA NA NA
1466024400.0 129.0 59 77 339 NA NA NA NA NA 110 152 402 NA NA NA NA NA 973 425 774 NA NA NA NA NA 603 321 741 NA NA NA NA NA
1466024400.0 13.0 NA 94 345 0 NA NA NA NA NA 161 412 0 NA NA NA NA NA 424 1466 441 NA NA NA NA NA 385 890 456 NA NA NA NA
1466024400.0 130.0 64 84 342 NA NA NA NA NA 115 152 405 NA NA NA NA NA 1121 450 702 NA NA NA NA NA 621 305 668 NA NA NA NA NA
1466024400.0 1301.0 84 166 176 NA NA NA NA NA 147 239 247 NA NA NA NA NA 3435 850 1049 NA NA NA NA NA 1564 694 1033 NA NA NA NA NA
1466024400.0 1302.0 100 184 187 NA NA NA NA NA 163 239 256 NA NA NA NA NA 10477 1180 1429 NA NA NA NA NA 3928 857 1187 NA NA NA NA NA
1466024400.0 1303.0 107 193 194 NA NA NA NA NA 169 239 262 NA NA NA NA NA 15860 687 1739 NA NA NA NA NA 5304 570 977 NA NA NA NA NA
1466024400.0 1306.0 NA 187 411 0 NA NA NA NA NA 251 490 0 NA NA NA NA NA 912 2806 1690 NA NA NA NA NA 745 2782 1698 NA NA NA NA
1466024400.0 1307.0 NA 173 190 52 0 NA NA NA NA 247 248 86 0 NA NA NA NA 865 1870 282 697 NA NA NA NA 701 1823 359 710 NA NA NA
1466024400.0 1308.0 NA 159 201 43 0 NA NA NA NA 247 261 84 0 NA NA NA NA 887 1803 264 700 NA NA NA NA 1093 1810 267 711 NA NA NA
1466024400.0 1309.0 NA 203 433 0 NA NA NA NA NA 261 504 0 NA NA NA NA NA 811 2552 1373 NA NA NA NA NA 676 2269 1393 NA NA NA NA
1466024400.0 131.0 73 87 337 NA NA NA NA NA 118 152 402 NA NA NA NA NA 2003 391 664 NA NA NA NA NA 1126 327 647 NA NA NA NA NA
1466024400.0 1310.0 NA 193 428 0 NA NA NA NA NA 261 497 0 NA NA NA NA NA 1133 3220 1839 NA NA NA NA NA 806 2943 1853 NA NA NA NA
1466024400.0 1311.0 NA 181 415 0 65 NA NA NA NA 252 478 0 103 NA NA NA NA 925 2691 1755 227 NA NA NA NA 733 2667 1826 290 NA NA NA
1466024400.0 1312.0 NA 200 427 0 NA NA NA NA NA 255 494 0 NA NA NA NA NA 1103 3395 1824 NA NA NA NA NA 815 3093 1849 NA NA NA NA
1466024400.0 1313.0 NA 200 436 0 NA NA NA NA NA 265 508 0 NA NA NA NA NA 847 3815 1299 NA NA NA NA NA 618 2692 1322 NA NA NA NA
1466024400.0 1314.0 NA 200 425 0 NA NA NA NA NA 260 499 0 NA NA NA NA NA 742 2353 1386 NA NA NA NA NA 591 2182 1402 NA NA NA NA
1466024400.0 1315.0 NA 186 416 0 NA NA NA NA NA 251 483 0 NA NA NA NA NA 905 2845 1736 NA NA NA NA NA 738 2796 1750 NA NA NA NA
1466024400.0 1316.0 NA 182 413 0 NA NA NA NA NA 252 485 0 NA NA NA NA NA 996 2989 1680 NA NA NA NA NA 785 2883 1694 NA NA NA NA
1466024400.0 1317.0 NA 184 413 0 NA NA NA NA NA 251 483 0 NA NA NA NA NA 948 2907 1667 NA NA NA NA NA 742 2825 1677 NA NA NA NA
