Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1465160400.0 1002.0 NA 212 65 NA NA NA NA NA 408 141 NA NA NA NA NA 2640 151 NA NA NA NA NA 3057 206 NA NA NA NA
1465160400.0 10021.0 NA 98 NA NA NA NA NA NA 285 NA NA NA NA NA NA 601 NA NA NA NA NA NA 691 NA NA NA NA NA
1465160400.0 10023.0 NA 98 NA NA NA NA NA NA 286 NA NA NA NA NA NA 574 NA NA NA NA NA NA 664 NA NA NA NA NA
1465160400.0 10024.0 NA 104 NA NA NA NA NA NA 286 NA NA NA NA NA NA 646 NA NA NA NA NA NA 772 NA NA NA NA NA
1465160400.0 10024.1 NA 104 148 0 NA NA NA NA 286 327 0 NA NA NA NA 659 722 360 NA NA NA NA 797 851 375 NA NA NA
1465160400.0 10024.2 NA 103 NA NA NA NA NA NA 286 NA NA NA NA NA NA 665 NA NA NA NA NA NA 851 NA NA NA NA NA
1465160400.0 10024.4 NA 104 NA NA NA NA NA NA 284 NA NA NA NA NA NA 667 NA NA NA NA NA NA 820 NA NA NA NA NA
1465160400.0 10025.0 NA 100 NA NA NA NA NA NA 284 NA NA NA NA NA NA 593 NA NA NA NA NA NA 931 NA NA NA NA NA
1465160400.0 10026.0 NA 103 NA NA NA NA NA NA 286 NA NA NA NA NA NA 678 NA NA NA NA NA NA 1076 NA NA NA NA NA
1465160400.0 1004.0 NA 177 133 0 0 0 0 NA 359 248 0 0 0 0 NA 511 225 6 61 477 466 NA 537 246 10 64 481 470
1465160400.0 105.0 53 87 23 NA NA NA NA 163 234 119 NA NA NA NA 2837 326 3 NA NA NA NA 3102 345 28 NA NA NA NA
1465160400.0 10825.0 105 NA NA NA NA NA NA 219 NA NA NA NA NA NA 11717 NA NA NA NA NA NA 12440 NA NA NA NA NA NA
1465160400.0 11.0 NA 77 204 0 60 NA NA NA 246 403 0 159 NA NA NA 1760 918 628 40 NA NA NA 1805 1100 679 68 NA NA
1465160400.0 11021.0 93 209 NA NA NA NA NA 202 345 NA NA NA NA NA 3259 2488 NA NA NA NA NA 3359 2613 NA NA NA NA NA
1465160400.0 126.0 45 83 187 NA NA NA NA 156 234 392 NA NA NA NA 1685 343 438 NA NA NA NA 1788 359 471 NA NA NA NA
