Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1465765200.0 1.0 52 73 129 NA NA NA NA NA 165 232 292 NA NA NA NA NA 3841 476 1715 NA NA NA NA NA 4178 524 1876 NA NA NA NA NA
1465765200.0 10.0 NA 82 201 0 NA NA NA NA NA 238 397 0 NA NA NA NA NA 2125 2119 596 NA NA NA NA NA 2208 2431 9858 NA NA NA NA
1465765200.0 1000.0 NA 214 113 0 42 NA NA NA NA 409 244 0 138 NA NA NA NA 3237 470 496 105 NA NA NA NA 3340 570 633 152 NA NA NA
1465765200.0 1001.0 NA 183 166 0 0 0 0 0 NA 372 301 0 0 0 0 0 NA 2638 388 7 75 586 63 629 NA 2918 5421 16 80 603 85 640
1465765200.0 1002.0 NA 212 60 NA NA NA NA NA NA 414 142 NA NA NA NA NA NA 3294 190 NA NA NA NA NA NA 3619 203 NA NA NA NA NA
1465765200.0 10021.0 NA 99 233 0 NA NA NA NA NA 284 458 0 NA NA NA NA NA 569 1123 358 NA NA NA NA NA 620 1190 367 NA NA NA NA
1465765200.0 10023.0 NA 98 225 0 NA NA NA NA NA 284 458 0 NA NA NA NA NA 517 832 346 NA NA NA NA NA 592 870 356 NA NA NA NA
1465765200.0 10024.0 NA 103 240 0 NA NA NA NA NA 286 459 0 NA NA NA NA NA 579 1729 403 NA NA NA NA NA 636 1809 411 NA NA NA NA
1465765200.0 10024.1 NA 102 146 0 NA NA NA NA NA 286 326 0 NA NA NA NA NA 433 435 315 NA NA NA NA NA 702 605 332 NA NA NA NA
1465765200.0 10024.2 NA 103 240 0 NA NA NA NA NA 284 458 0 NA NA NA NA NA 602 1004 366 NA NA NA NA NA 650 1057 375 NA NA NA NA
1465765200.0 10024.3 NA 102 141 0 NA NA NA NA NA 285 321 0 NA NA NA NA NA 420 413 269 NA NA NA NA NA 601 581 331 NA NA NA NA
1465765200.0 10024.4 NA 103 236 0 NA NA NA NA NA 285 457 0 NA NA NA NA NA 425 1223 412 NA NA NA NA NA 806 1419 458 NA NA NA NA
1465765200.0 10024.5 NA 102 138 0 NA NA NA NA NA 286 320 0 NA NA NA NA NA 576 594 337 NA NA NA NA NA 674 660 344 NA NA NA NA
1465765200.0 10025.0 NA 99 231 0 NA NA NA NA NA 284 458 0 NA NA NA NA NA 549 1218 376 NA NA NA NA NA 657 1260 384 NA NA NA NA
1465765200.0 10026.0 NA 103 239 0 NA NA NA NA NA 285 459 0 NA NA NA NA NA 622 1281 373 NA NA NA NA NA 686 1328 382 NA NA NA NA
1465765200.0 1003.0 NA 177 0 NA NA NA NA NA NA 376 0 NA NA NA NA NA NA 4087 482 NA NA NA NA NA NA 4385 500 NA NA NA NA NA
1465765200.0 1004.0 NA 175 132 0 0 0 0 NA NA 361 249 0 0 0 0 NA NA 722 209 5 50 354 360 NA NA 749 219 10 53 357 363 NA
1465765200.0 101.0 81 NA NA NA NA NA NA NA 234 NA NA NA NA NA NA NA 1278 NA NA NA NA NA NA NA 1340 NA NA NA NA NA NA NA
1465765200.0 102.0 82 NA NA NA NA NA NA NA 233 NA NA NA NA NA NA NA 817 NA NA NA NA NA NA NA 899 NA NA NA NA NA NA NA
1465765200.0 10224.0 NA 136 301 0 NA NA NA NA NA 288 534 0 NA NA NA NA NA 2709 5181 589 NA NA NA NA NA 7453 6459 609 NA NA NA NA
1465765200.0 10225.0 NA 139 306 0 NA NA NA NA NA 297 535 0 NA NA NA NA NA 2506 4088 490 NA NA NA NA NA 11533 19973 512 NA NA NA NA
1465765200.0 103.0 36 0 0 NA NA NA NA NA 143 0 0 NA NA NA NA NA 402 82 157 NA NA NA NA NA 447 118 199 NA NA NA NA NA
1465765200.0 105.0 52 77 24 NA NA NA NA NA 165 235 120 NA NA NA NA NA 2538 329 3 NA NA NA NA NA 2613 363 7 NA NA NA NA NA
1465765200.0 106.0 36 0 0 NA NA NA NA NA 143 0 0 NA NA NA NA NA 395 86 156 NA NA NA NA NA 445 117 199 NA NA NA NA NA
1465765200.0 107.0 55 89 190 NA NA NA NA NA 166 234 393 NA NA NA NA NA 6338 416 559 NA NA NA NA NA 6449 478 1051 NA NA NA NA NA
1465765200.0 108.0 56 89 196 NA NA NA NA NA 167 234 393 NA NA NA NA NA 9271 438 731 NA NA NA NA NA 9639 475 782 NA NA NA NA NA
1465765200.0 10821.0 92 NA NA NA NA NA NA NA 203 NA NA NA NA NA NA NA 3444 NA NA NA NA NA NA NA 3494 NA NA NA NA NA NA NA
1465765200.0 10824.0 106 NA NA NA NA NA NA NA 222 NA NA NA NA NA NA NA 15475 NA NA NA NA NA NA NA 16370 NA NA NA NA NA NA NA
1465765200.0 10825.0 105 NA NA NA NA NA NA NA 219 NA NA NA NA NA NA NA 13272 NA NA NA NA NA NA NA 14686 NA NA NA NA NA NA NA
1465765200.0 10826.0 107 NA NA NA NA NA NA NA 228 NA NA NA NA NA NA NA 31507 NA NA NA NA NA NA NA 38676 NA NA NA NA NA NA NA
1465765200.0 109.0 56 80 194 NA NA NA NA NA 168 234 393 NA NA NA NA NA 8966 419 674 NA NA NA NA NA 9364 469 803 NA NA NA NA NA
1465765200.0 11.0 NA 79 203 0 50 NA NA NA NA 237 406 0 160 NA NA NA NA 1724 882 607 40 NA NA NA NA 1778 953 634 95 NA NA NA
1465765200.0 110.0 44 78 189 NA NA NA NA NA 156 234 394 NA NA NA NA NA 617 334 452 NA NA NA NA NA 703 416 530 NA NA NA NA NA
1465765200.0 1102.0 NA 85 202 114 74 NA NA NA NA 236 401 271 157 NA NA NA NA 2436 3313 3306 242 NA NA NA NA 2500 3461 3620 253 NA NA NA
1465765200.0 111.0 51 78 189 NA NA NA NA NA 166 235 394 NA NA NA NA NA 3964 395 638 NA NA NA NA NA 4184 430 681 NA NA NA NA NA
