Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1464987600.0 1.0 47 74 129 NA NA NA NA NA 93 146 187 NA NA NA NA NA 3744 437 1415 NA NA NA NA NA 3828 450 1429 NA NA NA NA NA
1464987600.0 10.0 NA 80 199 0 NA NA NA NA NA 151 259 0 NA NA NA NA NA 4249 3551 1178 NA NA NA NA NA 4355 3627 1202 NA NA NA NA
1464987600.0 1000.0 NA 211 113 0 46 NA NA NA NA 283 168 0 78 NA NA NA NA 4595 714 856 184 NA NA NA NA 4744 777 879 236 NA NA NA
1464987600.0 1001.0 NA 181 167 0 0 0 0 0 NA 244 217 0 0 0 0 0 NA 2018 359 5 57 495 37 504 NA 2169 424 12 66 532 47 606
1464987600.0 1002.0 NA 211 68 NA NA NA NA NA NA 278 100 NA NA NA NA NA NA 3226 139 NA NA NA NA NA NA 3308 147 NA NA NA NA NA
1464987600.0 10021.0 NA 99 227 0 NA NA NA NA NA 197 318 0 NA NA NA NA NA 1024 2286 1182 NA NA NA NA NA 1175 2452 1368 NA NA NA NA
1464987600.0 10023.0 NA 98 224 0 NA NA NA NA NA 197 318 0 NA NA NA NA NA 996 2128 839 NA NA NA NA NA 1179 2358 864 NA NA NA NA
1464987600.0 10024.0 NA 103 230 0 NA NA NA NA NA 197 318 0 NA NA NA NA NA 1081 2306 993 NA NA NA NA NA 1313 2532 1063 NA NA NA NA
1464987600.0 10024.1 NA 103 146 0 NA NA NA NA NA 197 222 0 NA NA NA NA NA 1001 1266 535 NA NA NA NA NA 1106 1470 561 NA NA NA NA
1464987600.0 10024.2 NA 104 235 0 NA NA NA NA NA 196 318 0 NA NA NA NA NA 1229 2125 1214 NA NA NA NA NA 1388 2373 1238 NA NA NA NA
1464987600.0 10024.3 NA 104 142 0 NA NA NA NA NA 199 217 0 NA NA NA NA NA 1064 1190 500 NA NA NA NA NA 1222 1471 550 NA NA NA NA
1464987600.0 10024.4 NA 104 235 0 NA NA NA NA NA 196 317 0 NA NA NA NA NA 1141 2220 970 NA NA NA NA NA 1245 2397 994 NA NA NA NA
1464987600.0 10024.5 NA 103 137 0 NA NA NA NA NA 197 217 0 NA NA NA NA NA 1114 1166 513 NA NA NA NA NA 1319 1349 537 NA NA NA NA
1464987600.0 10025.0 NA 100 224 0 NA NA NA NA NA 197 318 0 NA NA NA NA NA 569 1253 557 NA NA NA NA NA 1163 1520 634 NA NA NA NA
1464987600.0 10026.0 NA 103 238 0 NA NA NA NA NA 197 318 0 NA NA NA NA NA 672 1195 400 NA NA NA NA NA 1306 1237 409 NA NA NA NA
1464987600.0 1003.0 NA 176 0 NA NA NA NA NA NA 250 0 NA NA NA NA NA NA 4356 482 NA NA NA NA NA NA 4594 493 NA NA NA NA NA
1464987600.0 1004.0 NA 175 131 0 0 0 0 NA NA 240 180 0 0 0 0 NA NA 700 198 6 58 367 343 NA NA 719 207 10 61 371 348 NA
1464987600.0 101.0 78 NA NA NA NA NA NA NA 137 NA NA NA NA NA NA NA 2100 NA NA NA NA NA NA NA 2245 NA NA NA NA NA NA NA
1464987600.0 102.0 79 NA NA NA NA NA NA NA 137 NA NA NA NA NA NA NA 1431 NA NA NA NA NA NA NA 1524 NA NA NA NA NA NA NA
1464987600.0 10224.0 NA 134 253 0 NA NA NA NA NA 205 395 0 NA NA NA NA NA 5428 7751 1291 NA NA NA NA NA 14893 36939 1581 NA NA NA NA
1464987600.0 10225.0 NA 134 277 0 NA NA NA NA NA 201 387 0 NA NA NA NA NA 5170 6092 1244 NA NA NA NA NA 14091 32764 1441 NA NA NA NA
1464987600.0 103.0 34 0 0 NA NA NA NA NA 74 0 0 NA NA NA NA NA 793 145 314 NA NA NA NA NA 846 216 338 NA NA NA NA NA
1464987600.0 105.0 46 83 19 NA NA NA NA NA 93 149 54 NA NA NA NA NA 3228 664 5 NA NA NA NA NA 8598 807 8 NA NA NA NA NA
1464987600.0 106.0 34 0 0 NA NA NA NA NA 74 0 0 NA NA NA NA NA 651 158 277 NA NA NA NA NA 673 170 331 NA NA NA NA NA
1464987600.0 107.0 48 78 192 NA NA NA NA NA 94 149 256 NA NA NA NA NA 4883 441 522 NA NA NA NA NA 5225 484 568 NA NA NA NA NA
1464987600.0 108.0 49 90 197 NA NA NA NA NA 96 149 256 NA NA NA NA NA 10067 656 1138 NA NA NA NA NA 10734 684 1199 NA NA NA NA NA
1464987600.0 10821.0 84 NA NA NA NA NA NA NA 125 NA NA NA NA NA NA NA 7159 NA NA NA NA NA NA NA 7831 NA NA NA NA NA NA NA
1464987600.0 10824.0 96 NA NA NA NA NA NA NA 142 NA NA NA NA NA NA NA 12542 NA NA NA NA NA NA NA 13251 NA NA NA NA NA NA NA
1464987600.0 10825.0 96 NA NA NA NA NA NA NA 140 NA NA NA NA NA NA NA 9818 NA NA NA NA NA NA NA 9928 NA NA NA NA NA NA NA
1464987600.0 10826.0 101 NA NA NA NA NA NA NA 147 NA NA NA NA NA NA NA 37808 NA NA NA NA NA NA NA 38658 NA NA NA NA NA NA NA
1464987600.0 109.0 51 79 201 NA NA NA NA NA 97 149 256 NA NA NA NA NA 9440 854 1028 NA NA NA NA NA 9837 941 1123 NA NA NA NA NA
1464987600.0 11.0 NA 79 201 0 51 NA NA NA NA 152 266 0 91 NA NA NA NA 2540 1425 873 53 NA NA NA NA 2689 1560 1001 67 NA NA NA
1464987600.0 110.0 41 86 190 NA NA NA NA NA 85 149 256 NA NA NA NA NA 1182 585 836 NA NA NA NA NA 1249 618 912 NA NA NA NA NA
1464987600.0 1102.0 NA 86 199 116 75 NA NA NA NA 151 264 176 113 NA NA NA NA 4016 5112 3677 275 NA NA NA NA 4072 5286 3833 289 NA NA NA
1464987600.0 11021.0 83 209 NA NA NA NA NA NA 125 257 NA NA NA NA NA NA 7186 5570 NA NA NA NA NA NA 7762 5700 NA NA NA NA NA NA
1464987600.0 11024.0 96 212 NA NA NA NA NA NA 141 260 NA NA NA NA NA NA 12715 1808 NA NA NA NA NA NA 13710 1884 NA NA NA NA NA NA
1464987600.0 11025.0 95 224 102 NA NA NA NA NA 141 262 136 NA NA NA NA NA 8260 1617 786 NA NA NA NA NA 8785 1669 832 NA NA NA NA NA
1464987600.0 11026.0 101 213 NA NA NA NA NA NA 147 262 NA NA NA NA NA NA 36000 5627 NA NA NA NA NA NA 37727 5862 NA NA NA NA NA NA
1464987600.0 111.0 47 77 192 NA NA NA NA NA 93 149 256 NA NA NA NA NA 3693 336 398 NA NA NA NA NA 3738 346 413 NA NA NA NA NA
1464987600.0 112.0 48 80 198 NA NA NA NA NA 94 149 256 NA NA NA NA NA 6693 657 972 NA NA NA NA NA 7799 681 1115 NA NA NA NA NA
1464987600.0 113.0 52 85 204 NA NA NA NA NA 96 149 256 NA NA NA NA NA 7482 578 700 NA NA NA NA NA 7755 632 715 NA NA NA NA NA
1464987600.0 114.0 49 90 188 NA NA NA NA NA 96 149 256 NA NA NA NA NA 7410 633 995 NA NA NA NA NA 7552 673 1044 NA NA NA NA NA
1464987600.0 115.0 52 89 201 NA NA NA NA NA 96 149 256 NA NA NA NA NA 8648 718 1108 NA NA NA NA NA 8842 740 1147 NA NA NA NA NA
1464987600.0 116.0 50 79 195 NA NA NA NA NA 96 149 256 NA NA NA NA NA 8866 640 954 NA NA NA NA NA 9242 665 1025 NA NA NA NA NA
1464987600.0 117.0 52 90 195 NA NA NA NA NA 96 149 256 NA NA NA NA NA 10480 682 1015 NA NA NA NA NA 11074 748 1070 NA NA NA NA NA
1464987600.0 118.0 52 80 194 NA NA NA NA NA 96 149 256 NA NA NA NA NA 10492 821 1003 NA NA NA NA NA 11038 852 1036 NA NA NA NA NA
1464987600.0 119.0 48 75 190 NA NA NA NA NA 93 149 256 NA NA NA NA NA 4130 434 415 NA NA NA NA NA 4870 527 564 NA NA NA NA NA
1464987600.0 12.0 NA 80 202 0 NA NA NA NA NA 151 258 0 NA NA NA NA NA 3682 3766 906 NA NA NA NA NA 3716 3862 1022 NA NA NA NA
1464987600.0 120.0 40 75 189 NA NA NA NA NA 80 149 256 NA NA NA NA NA 861 589 657 NA NA NA NA NA 893 612 711 NA NA NA NA NA
1464987600.0 121.0 52 81 196 NA NA NA NA NA 97 149 256 NA NA NA NA NA 10052 728 1074 NA NA NA NA NA 10215 758 1128 NA NA NA NA NA
1464987600.0 122.0 43 76 189 NA NA NA NA NA 89 149 256 NA NA NA NA NA 1345 329 822 NA NA NA NA NA 1407 351 878 NA NA NA NA NA
1464987600.0 123.1 175 NA NA NA NA NA NA NA 243 NA NA NA NA NA NA NA 1063 NA NA NA NA NA NA NA 1120 NA NA NA NA NA NA NA
1464987600.0 123.2 179 NA NA NA NA NA NA NA 245 NA NA NA NA NA NA NA 1195 NA NA NA NA NA NA NA 1259 NA NA NA NA NA NA NA
1464987600.0 123.3 168 NA NA NA NA NA NA NA 228 NA NA NA NA NA NA NA 631 NA NA NA NA NA NA NA 690 NA NA NA NA NA NA NA
1464987600.0 124.1 174 NA NA NA NA NA NA NA 238 NA NA NA NA NA NA NA 714 NA NA NA NA NA NA NA 757 NA NA NA NA NA NA NA
1464987600.0 124.2 175 NA NA NA NA NA NA NA 242 NA NA NA NA NA NA NA 1006 NA NA NA NA NA NA NA 1053 NA NA NA NA NA NA NA
1464987600.0 124.4 171 NA NA NA NA NA NA NA 238 NA NA NA NA NA NA NA 726 NA NA NA NA NA NA NA 751 NA NA NA NA NA NA NA
1464987600.0 124.5 172 NA NA NA NA NA NA NA 238 NA NA NA NA NA NA NA 723 NA NA NA NA NA NA NA 752 NA NA NA NA NA NA NA
1464987600.0 124.6 167 NA NA NA NA NA NA NA 228 NA NA NA NA NA NA NA 651 NA NA NA NA NA NA NA 708 NA NA NA NA NA NA NA
1464987600.0 125.0 47 77 187 NA NA NA NA NA 94 149 256 NA NA NA NA NA 5813 354 502 NA NA NA NA NA 6229 547 558 NA NA NA NA NA
1464987600.0 126.0 41 74 190 NA NA NA NA NA 86 149 256 NA NA NA NA NA 1779 386 375 NA NA NA NA NA 1800 396 394 NA NA NA NA NA
1464987600.0 127.0 40 74 190 NA NA NA NA NA 81 149 256 NA NA NA NA NA 2426 590 915 NA NA NA NA NA 2523 656 1127 NA NA NA NA NA
1464987600.0 128.0 39 76 189 NA NA NA NA NA 80 149 256 NA NA NA NA NA 888 590 922 NA NA NA NA NA 948 632 964 NA NA NA NA NA
1464987600.0 129.0 40 74 189 NA NA NA NA NA 85 149 256 NA NA NA NA NA 946 567 819 NA NA NA NA NA 965 622 857 NA NA NA NA NA
1464987600.0 13.0 NA 84 195 0 NA NA NA NA NA 151 256 0 NA NA NA NA NA 488 1798 801 NA NA NA NA NA 597 1870 1353 NA NA NA NA
1464987600.0 130.0 41 74 189 NA NA NA NA NA 85 149 256 NA NA NA NA NA 981 792 637 NA NA NA NA NA 1046 815 732 NA NA NA NA NA
1464987600.0 1301.0 54 135 171 NA NA NA NA NA 100 207 232 NA NA NA NA NA 2136 734 2604 NA NA NA NA NA 2318 834 2909 NA NA NA NA NA
1464987600.0 1302.0 59 144 177 NA NA NA NA NA 104 202 233 NA NA NA NA NA 12813 876 2449 NA NA NA NA NA 13472 1029 2671 NA NA NA NA NA
1464987600.0 1303.0 57 146 179 NA NA NA NA NA 105 207 240 NA NA NA NA NA 14301 647 3603 NA NA NA NA NA 14845 893 3776 NA NA NA NA NA
1464987600.0 1306.0 NA 165 241 0 NA NA NA NA NA 219 319 0 NA NA NA NA NA 870 1521 2184 NA NA NA NA NA 952 1704 2211 NA NA NA NA
1464987600.0 1307.0 NA 134 133 42 0 NA NA NA NA 212 206 81 0 NA NA NA NA 706 780 80 805 NA NA NA NA 783 841 104 829 NA NA NA
1464987600.0 1308.0 NA 136 131 39 0 NA NA NA NA 212 207 78 0 NA NA NA NA 640 698 65 558 NA NA NA NA 718 751 73 564 NA NA NA
1464987600.0 1309.0 NA 164 246 0 NA NA NA NA NA 227 319 0 NA NA NA NA NA 1034 1877 1855 NA NA NA NA NA 1196 2185 1872 NA NA NA NA
1464987600.0 131.0 42 77 190 NA NA NA NA NA 87 149 256 NA NA NA NA NA 2135 429 390 NA NA NA NA NA 2188 438 407 NA NA NA NA NA
1464987600.0 1310.0 NA 164 248 0 NA NA NA NA NA 226 319 0 NA NA NA NA NA 618 1126 839 NA NA NA NA NA 858 1458 846 NA NA NA NA
1464987600.0 1311.0 NA 158 223 0 60 NA NA NA NA 220 290 0 102 NA NA NA NA 543 1051 1271 83 NA NA NA NA 615 1147 1414 544 NA NA NA
1464987600.0 1312.0 NA 170 248 0 NA NA NA NA NA 223 319 0 NA NA NA NA NA 925 1913 2210 NA NA NA NA NA 1018 2027 2251 NA NA NA NA
1464987600.0 1313.0 NA 164 250 0 NA NA NA NA NA 224 319 0 NA NA NA NA NA 518 1960 1260 NA NA NA NA NA 863 2534 1448 NA NA NA NA
1464987600.0 1314.0 NA 167 251 0 NA NA NA NA NA 228 319 0 NA NA NA NA NA 503 1405 1426 NA NA NA NA NA 693 1481 1516 NA NA NA NA
