Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1465160400.0 1.0 48 84 129 NA NA NA NA 93 146 183 NA NA NA NA 3177 541 1062 NA NA NA NA 3489 652 1078 NA NA NA NA
1465160400.0 1002.0 NA 213 61 NA NA NA NA NA 277 100 NA NA NA NA NA 3583 240 NA NA NA NA NA 3789 262 NA NA NA NA
1465160400.0 10021.0 NA 99 230 0 NA NA NA NA 197 318 0 NA NA NA NA 992 1954 918 NA NA NA NA 1125 2101 953 NA NA NA
1465160400.0 10023.0 NA 99 218 0 NA NA NA NA 199 318 0 NA NA NA NA 967 1543 857 NA NA NA NA 1133 1802 888 NA NA NA
1465160400.0 10024.0 NA 103 229 0 NA NA NA NA 197 319 0 NA NA NA NA 1079 2026 921 NA NA NA NA 1464 2812 945 NA NA NA
1465160400.0 10024.1 NA 103 149 0 NA NA NA NA 197 222 0 NA NA NA NA 1115 1119 515 NA NA NA NA 1395 1258 552 NA NA NA
1465160400.0 10024.3 NA 103 143 0 NA NA NA NA 197 217 0 NA NA NA NA 1119 1099 437 NA NA NA NA 1395 1256 473 NA NA NA
1465160400.0 10024.5 NA 105 141 0 NA NA NA NA 197 217 0 NA NA NA NA 1085 1103 530 NA NA NA NA 1301 1196 566 NA NA NA
1465160400.0 1003.0 NA 177 0 NA NA NA NA NA 249 0 NA NA NA NA NA 4663 490 NA NA NA NA NA 5001 524 NA NA NA NA
1465160400.0 1004.0 NA 183 140 0 0 0 0 NA 240 180 0 0 0 0 NA 573 265 8 59 681 743 NA 606 401 13 64 696 929
1465160400.0 101.0 78 NA NA NA NA NA NA 137 NA NA NA NA NA NA 1464 NA NA NA NA NA NA 1504 NA NA NA NA NA NA
1465160400.0 102.0 80 NA NA NA NA NA NA 137 NA NA NA NA NA NA 981 NA NA NA NA NA NA 1031 NA NA NA NA NA NA
1465160400.0 10224.0 NA 145 288 0 NA NA NA NA 205 395 0 NA NA NA NA 2937 5132 738 NA NA NA NA 11342 16483 754 NA NA NA
1465160400.0 10225.0 NA 129 282 0 NA NA NA NA 203 381 0 NA NA NA NA 2880 4337 693 NA NA NA NA 12021 15873 724 NA NA NA
1465160400.0 103.0 33 0 0 NA NA NA NA 75 0 0 NA NA NA NA 457 87 182 NA NA NA NA 473 95 228 NA NA NA NA
1465160400.0 105.0 47 87 24 NA NA NA NA 93 149 54 NA NA NA NA 3096 544 4 NA NA NA NA 3293 565 6 NA NA NA NA
1465160400.0 106.0 33 0 0 NA NA NA NA 74 0 0 NA NA NA NA 470 104 186 NA NA NA NA 484 120 236 NA NA NA NA
1465160400.0 10821.0 83 NA NA NA NA NA NA 125 NA NA NA NA NA NA 3822 NA NA NA NA NA NA 4566 NA NA NA NA NA NA
1465160400.0 10824.0 97 NA NA NA NA NA NA 142 NA NA NA NA NA NA 19738 NA NA NA NA NA NA 20919 NA NA NA NA NA NA
1465160400.0 10825.0 94 NA NA NA NA NA NA 140 NA NA NA NA NA NA 14764 NA NA NA NA NA NA 15393 NA NA NA NA NA NA
1465160400.0 110.0 41 77 189 NA NA NA NA 85 149 256 NA NA NA NA 710 381 501 NA NA NA NA 738 428 537 NA NA NA NA
1465160400.0 11021.0 84 219 NA NA NA NA NA 125 257 NA NA NA NA NA 6055 4822 NA NA NA NA NA 6602 4902 NA NA NA NA NA
1465160400.0 11026.0 100 213 NA NA NA NA NA 147 261 NA NA NA NA NA 30707 5142 NA NA NA NA NA 34723 6304 NA NA NA NA NA
1465160400.0 111.0 55 87 192 NA NA NA NA 93 149 256 NA NA NA NA 3273 441 650 NA NA NA NA 4233 463 677 NA NA NA NA
1465160400.0 120.0 40 75 187 NA NA NA NA 80 149 256 NA NA NA NA 584 415 452 NA NA NA NA 629 438 618 NA NA NA NA
1465160400.0 122.0 44 78 189 NA NA NA NA 89 149 256 NA NA NA NA 880 242 428 NA NA NA NA 1015 271 463 NA NA NA NA
1465160400.0 123.1 177 NA NA NA NA NA NA 242 NA NA NA NA NA NA 762 NA NA NA NA NA NA 813 NA NA NA NA NA NA
1465160400.0 123.2 180 NA NA NA NA NA NA 244 NA NA NA NA NA NA 833 NA NA NA NA NA NA 964 NA NA NA NA NA NA
1465160400.0 123.3 169 NA NA NA NA NA NA 228 NA NA NA NA NA NA 404 NA NA NA NA NA NA 470 NA NA NA NA NA NA
1465160400.0 124.1 172 NA NA NA NA NA NA 238 NA NA NA NA NA NA 432 NA NA NA NA NA NA 465 NA NA NA NA NA NA
1465160400.0 124.2 177 NA NA NA NA NA NA 242 NA NA NA NA NA NA 734 NA NA NA NA NA NA 799 NA NA NA NA NA NA
1465160400.0 124.4 174 NA NA NA NA NA NA 238 NA NA NA NA NA NA 430 NA NA NA NA NA NA 461 NA NA NA NA NA NA
1465160400.0 124.5 172 NA NA NA NA NA NA 238 NA NA NA NA NA NA 451 NA NA NA NA NA NA 493 NA NA NA NA NA NA
1465160400.0 124.6 168 NA NA NA NA NA NA 228 NA NA NA NA NA NA 413 NA NA NA NA NA NA 483 NA NA NA NA NA NA
1465160400.0 126.0 50 84 192 NA NA NA NA 86 149 256 NA NA NA NA 1659 378 492 NA NA NA NA 1702 403 538 NA NA NA NA
1465160400.0 127.0 40 84 192 NA NA NA NA 81 149 256 NA NA NA NA 1871 528 626 NA NA NA NA 2023 576 651 NA NA NA NA
1465160400.0 128.0 39 84 189 NA NA NA NA 80 149 256 NA NA NA NA 558 388 459 NA NA NA NA 597 429 511 NA NA NA NA
1465160400.0 129.0 41 75 188 NA NA NA NA 85 149 256 NA NA NA NA 559 369 448 NA NA NA NA 590 473 499 NA NA NA NA
