Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1465160400.0 1.0 91 84 139 NA NA NA NA 151 184 238 NA NA NA NA 3575 395 1174 NA NA NA NA 1585 299 1143 NA NA NA NA
1465160400.0 10.0 NA 107 374 0 NA NA NA NA 221 461 0 NA NA NA NA 2196 2418 457 NA NA NA NA 809 1066 469 NA NA NA
1465160400.0 1002.0 NA 346 70 NA NA NA NA NA 446 108 NA NA NA NA NA 2877 187 NA NA NA NA NA 1812 146 NA NA NA NA
1465160400.0 10024.1 NA 132 263 0 NA NA NA NA 224 378 0 NA NA NA NA 1268 1268 432 NA NA NA NA 1040 1190 446 NA NA NA
1465160400.0 10024.3 NA 124 235 0 NA NA NA NA 242 346 0 NA NA NA NA 1178 1183 372 NA NA NA NA 1026 1050 381 NA NA NA
1465160400.0 10024.4 NA 127 401 0 NA NA NA NA 240 524 0 NA NA NA NA 846 1845 488 NA NA NA NA 760 1656 504 NA NA NA
1465160400.0 10024.5 NA 130 240 0 NA NA NA NA 227 353 0 NA NA NA NA 771 792 267 NA NA NA NA 664 730 277 NA NA NA
1465160400.0 1003.0 NA 282 0 NA NA NA NA NA 389 0 NA NA NA NA NA 3600 253 NA NA NA NA NA 1468 264 NA NA NA NA
1465160400.0 1004.0 NA 364 141 0 0 0 0 NA 448 183 0 0 0 0 NA 762 174 6 26 474 421 NA 612 182 9 31 478 426
1465160400.0 101.0 104 NA NA NA NA NA NA 169 NA NA NA NA NA NA 905 NA NA NA NA NA NA 935 NA NA NA NA NA NA
1465160400.0 102.0 104 NA NA NA NA NA NA 169 NA NA NA NA NA NA 879 NA NA NA NA NA NA 889 NA NA NA NA NA NA
1465160400.0 10224.0 NA 219 655 0 NA NA NA NA 327 819 0 NA NA NA NA 5107 9704 830 NA NA NA NA 5488 7138 847 NA NA NA
1465160400.0 10225.0 NA 216 620 0 NA NA NA NA 343 802 0 NA NA NA NA 5443 6758 844 NA NA NA NA 5104 9078 896 NA NA NA
1465160400.0 103.0 39 0 0 NA NA NA NA 80 0 0 NA NA NA NA 624 218 550 NA NA NA NA 633 226 563 NA NA NA NA
1465160400.0 105.0 84 82 24 NA NA NA NA 150 180 57 NA NA NA NA 3559 626 4 NA NA NA NA 1669 437 14 NA NA NA NA
1465160400.0 106.0 38 0 0 NA NA NA NA 80 0 0 NA NA NA NA 622 218 542 NA NA NA NA 630 224 582 NA NA NA NA
1465160400.0 10821.0 115 NA NA NA NA NA NA 164 NA NA NA NA NA NA 23415 NA NA NA NA NA NA 8899 NA NA NA NA NA NA
1465160400.0 10824.0 156 NA NA NA NA NA NA 220 NA NA NA NA NA NA 22201 NA NA NA NA NA NA 7582 NA NA NA NA NA NA
1465160400.0 10825.0 150 NA NA NA NA NA NA 212 NA NA NA NA NA NA 20286 NA NA NA NA NA NA 7126 NA NA NA NA NA NA
1465160400.0 10826.0 166 NA NA NA NA NA NA 226 NA NA NA NA NA NA 29475 NA NA NA NA NA NA 10493 NA NA NA NA NA NA
1465160400.0 11.0 NA 103 404 0 62 NA NA NA 220 492 0 96 NA NA NA 1715 1138 465 40 NA NA NA 670 755 489 54 NA NA
1465160400.0 110.0 69 84 369 NA NA NA NA 118 191 462 NA NA NA NA 967 391 613 NA NA NA NA 583 302 584 NA NA NA NA
1465160400.0 11021.0 112 564 NA NA NA NA NA 165 626 NA NA NA NA NA 8867 2994 NA NA NA NA NA 4024 2504 NA NA NA NA NA
1465160400.0 11025.0 150 572 NA NA NA NA NA 211 634 NA NA NA NA NA 19516 2961 NA NA NA NA NA 6602 1752 NA NA NA NA NA
1465160400.0 111.0 91 93 360 NA NA NA NA 159 202 457 NA NA NA NA 5005 391 681 NA NA NA NA 1763 326 696 NA NA NA NA
1465160400.0 112.0 86 98 377 NA NA NA NA 163 214 462 NA NA NA NA 7276 442 687 NA NA NA NA 2399 340 617 NA NA NA NA
1465160400.0 113.0 88 96 368 NA NA NA NA 169 197 460 NA NA NA NA 7553 436 708 NA NA NA NA 2621 343 657 NA NA NA NA
1465160400.0 114.0 91 95 372 NA NA NA NA 165 202 455 NA NA NA NA 7556 447 712 NA NA NA NA 2512 352 611 NA NA NA NA
1465160400.0 115.0 92 98 374 NA NA NA NA 161 209 461 NA NA NA NA 7655 473 797 NA NA NA NA 2478 348 694 NA NA NA NA
1465160400.0 119.0 95 97 369 NA NA NA NA 164 218 450 NA NA NA NA 6727 438 780 NA NA NA NA 2272 429 707 NA NA NA NA
