Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1466240400.0 108.0 55 82 205 NA 102 149 265 NA 6894 469 650 NA 7563 601 691 NA
1466240400.0 109.0 55 81 197 NA 102 149 256 NA 6603 489 644 NA 7214 624 711 NA
1466240400.0 118.0 56 86 198 NA 102 149 256 NA 9173 672 939 NA 9507 741 1086 NA
1466240400.0 121.0 56 89 201 NA 102 149 257 NA 7182 478 673 NA 7791 525 724 NA
1466240400.0 134.709 NA 44 235 0 NA 86 307 0 NA 253 9089 678 NA 311 10615 705
1466240400.0 134.802 NA 40 238 0 NA 87 309 0 NA 205 8769 508 NA 236 9607 583
1466240400.0 134.809 NA 37 232 0 NA 84 301 0 NA 206 7957 504 NA 245 8375 540
1466240400.0 134.91 NA 42 236 0 NA 87 293 0 NA 274 7193 694 NA 323 8555 1273
1466240400.0 134.99603 NA 42 239 0 NA 87 305 0 NA 224 7545 533 NA 429 8314 562
1466240400.0 135.1 232 0 107 NA 305 0 162 NA 1509 500 715 NA 1817 525 823 NA
1466240400.0 135.12 224 0 105 NA 301 0 161 NA 1373 491 683 NA 1979 530 793 NA
1466240400.0 135.2 213 0 102 NA 282 0 161 NA 634 338 409 NA 1176 386 552 NA
1466240400.0 135.4 225 0 105 NA 300 0 162 NA 1058 386 522 NA 1693 405 618 NA
1466240400.0 135.6 225 0 106 NA 302 0 162 NA 1467 504 706 NA 2048 535 820 NA
1466240400.0 135.7 228 0 106 NA 299 0 161 NA 908 333 534 NA 1266 377 888 NA
1466240400.0 136.729 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1466240400.0 136.73 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1466240400.0 2.0 58 85 141 NA 102 147 191 NA 7104 439 692 NA 7807 501 721 NA
1466240400.0 250200.1 62 194 189 NA 109 270 249 NA 8060 2152 2948 NA 8951 3177 3028 NA
1466240400.0 250400.0 235 0 108 NA 318 0 162 NA 1421 351 670 NA 2537 385 1241 NA
1466240400.0 250406.0 227 0 107 NA 314 0 162 NA 1291 461 662 NA 3637 748 887 NA
1466240400.0 250408.0 237 0 108 NA 319 0 162 NA 1541 358 692 NA 2802 394 1257 NA
1466240400.0 25406.0 268 0 116 NA 358 0 162 NA 2883 532 642 NA 7028 556 702 NA
1466240400.0 280.0 92 87 196 0 171 149 256 0 9940 649 761 749 10216 705 904 767
1466240400.0 34.0 56 79 195 0 101 149 256 0 7577 452 623 583 8310 518 749 643
1466240400.0 4.45 NA 38 234 0 NA 80 301 0 NA 248 10582 676 NA 332 10739 693
1466240400.0 4.61 NA 40 233 0 NA 79 298 0 NA 253 10279 651 NA 319 11432 678
1466240400.0 4.65 NA 40 235 0 NA 78 305 0 NA 290 16569 633 NA 397 17609 644
1466240400.0 4.68 NA 50 238 0 NA 88 301 0 NA 244 12408 670 NA 266 12537 711
1466240400.0 4.72 NA 37 225 0 NA 78 292 0 NA 180 6784 480 NA 252 6919 532
1466240400.0 500203.0 NA 114 254 0 NA 198 324 0 NA 6871 3681 904 NA 9976 3901 922
1466240400.0 50203.0 NA 108 270 0 NA 165 351 0 NA 2379 3991 857 NA 6398 10170 880
