Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1465635600.0 1.0 58 84 155 NA NA 106 151 194 NA NA 3446 624 520 NA NA 3582 791 829 NA NA
1465635600.0 10.0 NA 96 224 0 NA NA 159 274 0 NA NA 4294 4051 1111 NA NA 4406 4318 1255 NA
1465635600.0 101.0 94 NA NA NA NA 145 NA NA NA NA 2318 NA NA NA NA 2635 NA NA NA NA
1465635600.0 102.0 95 NA NA NA NA 145 NA NA NA NA 1715 NA NA NA NA 1909 NA NA NA NA
1465635600.0 10224.0 NA 146 321 0 NA NA 206 403 0 NA NA 4204 7581 1047 NA NA 8337 11242 1188 NA
1465635600.0 10225.0 NA 147 323 0 NA NA 215 410 0 NA NA 4336 6908 1028 NA NA 12323 13871 1065 NA
1465635600.0 103.0 57 0 0 NA NA 79 0 0 NA NA 758 137 284 NA NA 966 418 600 NA NA
1465635600.0 105.0 58 88 30 NA NA 106 154 55 NA NA 3564 658 5 NA NA 3705 918 104 NA NA
1465635600.0 106.0 46 0 0 NA NA 79 0 0 NA NA 760 131 281 NA NA 919 427 608 NA NA
1465635600.0 107.0 57 89 223 NA NA 108 154 265 NA NA 6517 681 866 NA NA 6603 845 1102 NA NA
1465635600.0 108.0 60 98 230 NA NA 107 154 267 NA NA 10057 721 1097 NA NA 10228 841 1346 NA NA
1465635600.0 10821.0 99 NA NA NA NA 136 NA NA NA NA 6458 NA NA NA NA 6523 NA NA NA NA
1465635600.0 10824.0 110 NA NA NA NA 161 NA NA NA NA 25338 NA NA NA NA 25483 NA NA NA NA
1465635600.0 10825.0 110 NA NA NA NA 160 NA NA NA NA 17976 NA NA NA NA 18182 NA NA NA NA
1465635600.0 10826.0 118 NA NA NA NA 167 NA NA NA NA 42773 NA NA NA NA 43068 NA NA NA NA
1465635600.0 109.0 60 92 225 NA NA 106 154 268 NA NA 9832 711 1097 NA NA 10027 784 1298 NA NA
1465635600.0 110.0 52 88 223 NA NA 87 154 265 NA NA 1248 620 690 NA NA 1266 723 987 NA NA
1465635600.0 1102.0 NA 90 225 134 82 NA 158 274 179 116 NA 4439 5537 3279 215 NA 4609 5715 3562 313
1465635600.0 11021.0 100 217 102 NA NA 136 263 140 NA NA 6488 5067 2323 NA NA 6682 5300 2527 NA NA
1465635600.0 11024.0 110 219 105 NA NA 158 265 143 NA NA 25057 5107 2390 NA NA 25193 5339 2577 NA NA
1465635600.0 11025.0 110 217 104 NA NA 156 266 142 NA NA 18154 5044 2406 NA NA 18262 5285 2611 NA NA
1465635600.0 11026.0 118 221 106 NA NA 170 267 145 NA NA 42823 5112 2430 NA NA 43089 5344 2629 NA NA
