Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1466240400.0 10224.0 NA 146 335 0 NA 207 411 0 NA 4099 7740 1064 NA 8468 11493 1235
1466240400.0 10225.0 NA 147 334 0 NA 213 411 0 NA 4274 7091 942 NA 12680 14609 1093
1466240400.0 10824.0 111 NA NA NA 158 NA NA NA 25381 NA NA NA 25613 NA NA NA
1466240400.0 10826.0 120 NA NA NA 167 NA NA NA 42906 NA NA NA 43194 NA NA NA
1466240400.0 1303.0 71 161 203 NA 115 211 254 NA 18910 844 1595 NA 19009 1005 1952 NA
1466240400.0 136.727 NA 235 291 0 NA 281 343 0 NA 6978 16519 1747 NA 7126 16920 1885
1466240400.0 136.728 NA 220 285 0 NA 273 340 0 NA 7689 18339 1773 NA 7943 18577 1914
1466240400.0 13992501.0 NA 216 344 0 NA 286 421 0 NA 5389 7727 2861 NA 5709 10513 2891
1466240400.0 13992502.0 NA 223 353 0 NA 281 420 0 NA 5205 7150 2803 NA 7845 9250 2947
1466240400.0 250200.0 NA 405 312 0 NA 495 451 0 NA 22648 5801 2795 NA 23949 6023 2934
1466240400.0 250202.0 NA 250 309 0 NA 296 370 0 NA 27192 6431 2651 NA 29667 6734 2676
1466240400.0 250203.0 NA 247 315 0 NA 300 362 0 NA 23460 5970 2710 NA 25752 6384 2856
1466240400.0 250204.0 NA 250 313 0 NA 301 364 0 NA 23888 5444 2761 NA 24682 5774 2797
1466240400.0 250205.0 NA 243 307 0 NA 299 368 0 NA 20876 5260 2831 NA 23448 5495 2976
1466240400.0 250206.0 NA 249 312 0 NA 306 370 0 NA 22563 6904 2789 NA 23663 7302 2829
1466240400.0 250207.0 NA 235 298 0 NA 294 361 0 NA 19398 4942 2761 NA 21537 5317 2793
1466240400.0 25200.0 NA 226 354 0 NA 281 424 0 NA 5468 7082 2762 NA 8299 9506 2908
1466240400.0 25202.0 NA 212 341 0 NA 281 420 0 NA 5389 6962 2834 NA 8740 9747 2873
1466240400.0 25203.0 NA 216 349 0 NA 293 425 0 NA 5656 7247 2851 NA 8607 10811 2890
1466240400.0 25204.0 NA 211 342 0 NA 282 417 0 NA 5277 6728 2851 NA 8581 9516 2890
1466240400.0 25205.0 NA 219 347 0 NA 280 419 0 NA 5500 6673 2798 NA 8764 9014 2944
1466240400.0 25206.0 NA 213 341 0 NA 287 420 0 NA 5663 8139 2816 NA 8642 11787 2840
1466240400.0 25207.0 NA 212 343 0 NA 272 410 0 NA 4534 5546 2747 NA 8030 7941 2790
1466240400.0 25208.0 NA 225 351 0 NA 292 433 0 NA 6154 9742 2849 NA 11885 14570 2992
1466240400.0 25209.0 NA 224 351 0 NA 290 423 0 NA 5637 7556 2775 NA 9925 11153 2925
1466240400.0 25400.0 287 0 120 NA 369 0 171 NA 7044 684 573 NA 10857 689 704 NA
1466240400.0 25402.0 290 0 126 NA 371 0 169 NA 7750 717 650 NA 11440 730 787 NA
1466240400.0 25407.0 293 0 123 NA 360 0 170 NA 6197 668 508 NA 10158 785 701 NA
1466240400.0 25408.0 299 0 122 NA 380 0 171 NA 9907 725 861 NA 10289 735 996 NA
1466240400.0 25409.0 298 0 122 NA 375 0 171 NA 7366 690 626 NA 11719 698 697 NA
1466240400.0 36.0 NA 99 234 0 NA 159 274 0 NA 4086 14160 1111 NA 4259 14427 1246
1466240400.0 4.65 NA 45 259 0 NA 86 312 0 NA 267 21435 870 NA 383 21682 906
