Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1466067600.0 1.0 53 69 120 NA NA NA NA NA 97 143 174 NA NA NA NA NA 3248 770 598 NA NA NA NA NA 3338 798 666 NA NA NA NA NA
1466067600.0 10.0 NA 76 187 0 NA NA NA NA NA 147 245 0 NA NA NA NA NA 4363 4623 1055 NA NA NA NA NA 4438 4708 1097 NA NA NA NA
1466067600.0 1000.0 NA 195 116 0 37 NA NA NA NA 266 161 0 76 NA NA NA NA 4461 1121 848 403 NA NA NA NA 4902 1629 883 936 NA NA NA
1466067600.0 1001.0 NA 177 163 0 0 0 0 0 NA 235 205 0 0 0 0 0 NA 3987 1005 10 167 1416 235 1182 NA 4050 1057 14 183 1426 257 1203
1466067600.0 1002.0 NA 198 59 NA NA NA NA NA NA 267 97 NA NA NA NA NA NA 4363 283 NA NA NA NA NA NA 4469 302 NA NA NA NA NA
1466067600.0 10021.0 NA 85 122 0 NA NA NA NA NA 171 170 0 NA NA NA NA NA 1193 1524 475 NA NA NA NA NA 1369 1700 494 NA NA NA NA
1466067600.0 10023.0 NA 94 123 0 NA NA NA NA NA 171 171 0 NA NA NA NA NA 1032 880 438 NA NA NA NA NA 1161 982 511 NA NA NA NA
1466067600.0 10024.0 NA 91 124 0 NA NA NA NA NA 171 175 0 NA NA NA NA NA 1259 1316 477 NA NA NA NA NA 1402 1442 491 NA NA NA NA
1466067600.0 10025.0 NA 87 119 0 NA NA NA NA NA 171 170 0 NA NA NA NA NA 1244 923 421 NA NA NA NA NA 1352 1029 435 NA NA NA NA
1466067600.0 10026.0 NA 91 124 0 NA NA NA NA NA 171 176 0 NA NA NA NA NA 1600 1389 557 NA NA NA NA NA 1816 1504 712 NA NA NA NA
1466067600.0 1003.0 NA 168 0 NA NA NA NA NA NA 231 0 NA NA NA NA NA NA 5908 759 NA NA NA NA NA NA 6088 785 NA NA NA NA NA
1466067600.0 1004.0 NA 171 132 0 0 0 0 NA NA 233 166 0 0 0 0 NA NA 1080 462 11 98 1175 1177 NA NA 1114 478 21 104 1184 1184 NA
1466067600.0 101.0 79 NA NA NA NA NA NA NA 136 NA NA NA NA NA NA NA 1817 NA NA NA NA NA NA NA 1881 NA NA NA NA NA NA NA
1466067600.0 102.0 80 NA NA NA NA NA NA NA 135 NA NA NA NA NA NA NA 1362 NA NA NA NA NA NA NA 1434 NA NA NA NA NA NA NA
1466067600.0 10224.0 NA 121 179 0 NA NA NA NA NA 183 255 0 NA NA NA NA NA 4363 4066 522 NA NA NA NA NA 13839 19072 636 NA NA NA NA
1466067600.0 10225.0 NA 129 180 0 NA NA NA NA NA 186 258 0 NA NA NA NA NA 4462 4105 519 NA NA NA NA NA 18640 14124 538 NA NA NA NA
1466067600.0 103.0 48 76 182 NA NA NA NA NA 93 145 244 NA NA NA NA NA 1301 410 652 NA NA NA NA NA 1371 437 696 NA NA NA NA NA
